name,slug,region
Afghanistan,afghanistan,South Asia
Albania,albania,Europe
Algeria,algeria,Africa
American Samoa,american-samoa,Australia and Oceania
Andorra,andorra,Europe
Angola,angola,Africa
Anguilla,anguilla,Central America and the Caribbean
Antarctica,antarctica,Antarctica
Antigua and Barbuda,antigua-and-barbuda,Central America and the Caribbean
Argentina,argentina,South America
Armenia,armenia,Middle East
Aruba,aruba,Central America and the Caribbean
Ashmore and Cartier Islands,ashmore-and-cartier-islands,Australia and Oceania
Australia,australia,Australia and Oceania
Austria,austria,Europe
Azerbaijan,azerbaijan,Middle East
"Bahamas, The",bahamas-the,Central America and the Caribbean
Bahrain,bahrain,Middle East
Bangladesh,bangladesh,South Asia
Barbados,barbados,Central America and the Caribbean
Belarus,belarus,Europe
Belgium,belgium,Europe
Belize,belize,Central America and the Caribbean
Benin,benin,Africa
Bermuda,bermuda,North America
Bhutan,bhutan,South Asia
Bolivia,bolivia,South America
Bosnia and Herzegovina,bosnia-and-herzegovina,Europe
Botswana,botswana,Africa
Bouvet Island,bouvet-island,Antarctica
Brazil,brazil,South America
British Indian Ocean Territory,british-indian-ocean-territory,South Asia
British Virgin Islands,british-virgin-islands,Central America and the Caribbean
Brunei,brunei,East and Southeast Asia
Bulgaria,bulgaria,Europe
Burkina Faso,burkina-faso,Africa
Burma,burma,East and Southeast Asia
Burundi,burundi,Africa
Cabo Verde,cabo-verde,Africa
Cambodia,cambodia,East and Southeast Asia
Cameroon,cameroon,Africa
Canada,canada,North America
Cayman Islands,cayman-islands,Central America and the Caribbean
Central African Republic,central-african-republic,Africa
Chad,chad,Africa
Chile,chile,South America
China,china,East and Southeast Asia
Christmas Island,christmas-island,Australia and Oceania
Clipperton Island,clipperton-island,North America
Cocos (Keeling) Islands,cocos-keeling-islands,Australia and Oceania
Colombia,colombia,South America
Comoros,comoros,Africa
"Congo, Democratic Republic of the",congo-democratic-republic-of-the,Africa
"Congo, Republic of the",congo-republic-of-the,Africa
Cook Islands,cook-islands,Australia and Oceania
Coral Sea Islands,coral-sea-islands,Australia and Oceania
Costa Rica,costa-rica,Central America and the Caribbean
Cote d'Ivoire,cote-divoire,Africa
Croatia,croatia,Europe
Cuba,cuba,Central America and the Caribbean
Curacao,curacao,Central America and the Caribbean
Cyprus,cyprus,Europe
Czechia,czechia,Europe
Denmark,denmark,Europe
Dhekelia,dhekelia,Europe
Djibouti,djibouti,Africa
Dominica,dominica,Central America and the Caribbean
Dominican Republic,dominican-republic,Central America and the Caribbean
Ecuador,ecuador,South America
Egypt,egypt,Africa
El Salvador,el-salvador,Central America and the Caribbean
Equatorial Guinea,equatorial-guinea,Africa
Eritrea,eritrea,Africa
Estonia,estonia,Europe
Eswatini,eswatini,Africa
Ethiopia,ethiopia,Africa
Falkland Islands (Islas Malvinas),falkland-islands-islas-malvinas,South America
Faroe Islands,faroe-islands,Europe
Fiji,fiji,Australia and Oceania
Finland,finland,Europe
France,france,Europe
French Polynesia,french-polynesia,Australia and Oceania
Gabon,gabon,Africa
"Gambia, The",gambia-the,Africa
Gaza Strip,gaza-strip,Middle East
Georgia,georgia,Middle East
Germany,germany,Europe
Ghana,ghana,Africa
Gibraltar,gibraltar,Europe
Greece,greece,Europe
Greenland,greenland,North America
Grenada,grenada,Central America and the Caribbean
Guam,guam,Australia and Oceania
Guatemala,guatemala,Central America and the Caribbean
Guernsey,guernsey,Europe
Guinea,guinea,Africa
Guinea-Bissau,guinea-bissau,Africa
Guyana,guyana,South America
Haiti,haiti,Central America and the Caribbean
Heard Island and McDonald Islands,heard-island-and-mcdonald-islands,Antarctica
Holy See (Vatican City),holy-see-vatican-city,Europe
Honduras,honduras,Central America and the Caribbean
Hong Kong,hong-kong,East and Southeast Asia
Howland Island,howland-island,Australia and Oceania
Hungary,hungary,Europe
Iceland,iceland,Europe
India,india,South Asia
Indonesia,indonesia,East and Southeast Asia
Iran,iran,Middle East
Iraq,iraq,Middle East
Ireland,ireland,Europe
Isle of Man,isle-of-man,Europe
Israel,israel,Middle East
Italy,italy,Europe
Jamaica,jamaica,Central America and the Caribbean
Jan Mayen,jan-mayen,Europe
Japan,japan,East and Southeast Asia
Jarvis Island,jarvis-island,Australia and Oceania
Jersey,jersey,Europe
Johnston Atoll,johnston-atoll,Australia and Oceania
Jordan,jordan,Middle East
Kazakhstan,kazakhstan,Central Asia
Kenya,kenya,Africa
Kingman Reef,kingman-reef,Australia and Oceania
Kiribati,kiribati,Australia and Oceania
"Korea, North",korea-north,East and Southeast Asia
"Korea, South",korea-south,East and Southeast Asia
Kosovo,kosovo,Europe
Kuwait,kuwait,Middle East
Kyrgyzstan,kyrgyzstan,Central Asia
Laos,laos,East and Southeast Asia
Latvia,latvia,Europe
Lebanon,lebanon,Middle East
Lesotho,lesotho,Africa
Liberia,liberia,Africa
Libya,libya,Africa
Liechtenstein,liechtenstein,Europe
Lithuania,lithuania,Europe
Luxembourg,luxembourg,Europe
Macau,macau,East and Southeast Asia
Madagascar,madagascar,Africa
Malawi,malawi,Africa
Malaysia,malaysia,East and Southeast Asia
Maldives,maldives,South Asia
Mali,mali,Africa
Malta,malta,Europe
Marshall Islands,marshall-islands,Australia and Oceania
Mauritania,mauritania,Africa
Mauritius,mauritius,Africa
Mexico,mexico,North America
"Micronesia, Federated States of",micronesia-federated-states-of,Australia and Oceania
Midway Islands,midway-islands,Australia and Oceania
Moldova,moldova,Europe
Monaco,monaco,Europe
Mongolia,mongolia,East and Southeast Asia
Montenegro,montenegro,Europe
Montserrat,montserrat,Central America and the Caribbean
Morocco,morocco,Africa
Mozambique,mozambique,Africa
Namibia,namibia,Africa
Nauru,nauru,Australia and Oceania
Navassa Island,navassa-island,Central America and the Caribbean
Nepal,nepal,South Asia
Netherlands,netherlands,Europe
New Caledonia,new-caledonia,Australia and Oceania
New Zealand,new-zealand,Australia and Oceania
Nicaragua,nicaragua,Central America and the Caribbean
Niger,niger,Africa
Nigeria,nigeria,Africa
Niue,niue,Australia and Oceania
Norfolk Island,norfolk-island,Australia and Oceania
North Macedonia,north-macedonia,Europe
Northern Mariana Islands,northern-mariana-islands,Australia and Oceania
Norway,norway,Europe
Oman,oman,Middle East
Pakistan,pakistan,South Asia
Palau,palau,Australia and Oceania
Palmyra Atoll,palmyra-atoll,Australia and Oceania
Panama,panama,Central America and the Caribbean
Papua New Guinea,papua-new-guinea,East and Southeast Asia
Paracel Islands,paracel-islands,East and Southeast Asia
Paraguay,paraguay,South America
Peru,peru,South America
Philippines,philippines,East and Southeast Asia
Pitcairn Islands,pitcairn-islands,Australia and Oceania
Poland,poland,Europe
Portugal,portugal,Europe
Puerto Rico,puerto-rico,Central America and the Caribbean
Qatar,qatar,Middle East
Romania,romania,Europe
Russia,russia,Central Asia
Rwanda,rwanda,Africa
Saint Barthelemy,saint-barthelemy,Central America and the Caribbean
"Saint Helena, Ascension, and Tristan da Cunha",saint-helena-ascension-and-tristan-da-cunha,Africa
Saint Kitts and Nevis,saint-kitts-and-nevis,Central America and the Caribbean
Saint Lucia,saint-lucia,Central America and the Caribbean
Saint Martin,saint-martin,Central America and the Caribbean
Saint Pierre and Miquelon,saint-pierre-and-miquelon,North America
Saint Vincent and the Grenadines,saint-vincent-and-the-grenadines,Central America and the Caribbean
Samoa,samoa,Australia and Oceania
San Marino,san-marino,Europe
Sao Tome and Principe,sao-tome-and-principe,Africa
Saudi Arabia,saudi-arabia,Middle East
Senegal,senegal,Africa
Serbia,serbia,Europe
Seychelles,seychelles,Africa
Sierra Leone,sierra-leone,Africa
Singapore,singapore,East and Southeast Asia
Sint Maarten,sint-maarten,Central America and the Caribbean
Slovakia,slovakia,Europe
Slovenia,slovenia,Europe
Solomon Islands,solomon-islands,Australia and Oceania
Somalia,somalia,Africa
South Africa,south-africa,Africa
South Georgia and South Sandwich Islands,south-georgia-and-south-sandwich-islands,South America
South Sudan,south-sudan,Africa
Spain,spain,Europe
Spratly Islands,spratly-islands,East and Southeast Asia
Sri Lanka,sri-lanka,South Asia
Sudan,sudan,Africa
Suriname,suriname,South America
Svalbard,svalbard,Europe
Sweden,sweden,Europe
Switzerland,switzerland,Europe
Syria,syria,Middle East
Taiwan,taiwan,East and Southeast Asia
Tajikistan,tajikistan,Central Asia
Tanzania,tanzania,Africa
Thailand,thailand,East and Southeast Asia
Timor-Leste,timor-leste,East and Southeast Asia
Togo,togo,Africa
Tokelau,tokelau,Australia and Oceania
Tonga,tonga,Australia and Oceania
Trinidad and Tobago,trinidad-and-tobago,Central America and the Caribbean
Tunisia,tunisia,Africa
Turkey (Turkiye),turkey-turkiye,Middle East
Turkmenistan,turkmenistan,Central Asia
Turks and Caicos Islands,turks-and-caicos-islands,Central America and the Caribbean
Tuvalu,tuvalu,Australia and Oceania
Uganda,uganda,Africa
Ukraine,ukraine,Europe
United Arab Emirates,united-arab-emirates,Middle East
United Kingdom,united-kingdom,Europe
United States,united-states,North America
Uruguay,uruguay,South America
Uzbekistan,uzbekistan,Central Asia
Vanuatu,vanuatu,Australia and Oceania
Venezuela,venezuela,South America
Vietnam,vietnam,East and Southeast Asia
Virgin Islands,virgin-islands,Central America and the Caribbean
Wake Island,wake-island,Australia and Oceania
Wallis and Futuna,wallis-and-futuna,Australia and Oceania
West Bank,west-bank,Middle East
Yemen,yemen,Middle East
Zambia,zambia,Africa
Zimbabwe,zimbabwe,Africa
